searchterm,userid,created_year,created_month,created_date,created_hour,created_min,created_sec,retweet_count,favorite_count,friends_count,followers_count,location,tweet
trump,14195935,2016,10,25,06,13,25,1624,0,784,1536,LA + NYC,RT @GideonResnick: Trump used small donors’ money to buy nearly $300K worth of books from the publisher of Art of the Deal last month https…
hillary,767875039072890880,2016,10,25,06,13,25,0,0,2496,1198,,clinton’s collapse in both soft and hard support was steady and pronounced following the first debatepresident… https://t.co/FW7in1TAqn
hillary,310681448,2016,10,25,06,13,25,6248,0,2162,2174,88,RT @CloydRivers: A preview of what will happen to America if Hillary is elected President. Merica. https://t.co/0b87ovUkeX
hillary,23568539,2016,10,25,06,13,25,745,0,438,120,Israel,RT @FoxBusiness: .@ScottBaio's message to @HillaryClinton supporters: 'You own the demise of the U.S.' https://t.co/ZhweXllNBv
trump,132890694,2016,10,25,06,13,25,350,0,2838,1399,,RT @SandraTXAS: Professor with Remarkable Track Record Predicts Trump Win https://t.co/jlM5yMH4Oo#Hillary #ImWithHer not! #MAGA #AmericaF…
hillary,2305879171,2016,10,25,06,13,25,49,0,2698,1588,United States,RT @DustinStockton: Veteran at Trump Tampa rally thinks Hillary should be in jail. @JenLawrence21 @BreitbartNews https://t.co/ldaR2GlaI1
hillary,29851314,2016,10,25,06,13,25,14548,0,7264,13858,New York City,RT @realDonaldTrump: 'Democratic operative caught on camera: Hillary PERSONALLY ordered 'Donald Duck' troll campaign that broke the law'ht…
trump,3283403658,2016,10,25,06,13,25,1727,0,0,91277,,RT @hoax: hitler vs trump https://t.co/wg815vdue4
hillary,525455989,2016,10,25,06,13,25,303,0,345,81,Carson Ca.,RT @TheDemocrats: This family didn't realize that Hillary Clinton completely changed their life for the better: https://t.co/a1vuVOjhyD
hillary,19885991,2016,10,25,06,13,25,16,0,430,450, Canada,RT @Garossino: Clinton’s gripping new “Martha and Sara” video is the best 7 minutes of 2016 https://t.co/G5AdqTlrj7
hillary,99236241,2016,10,25,06,13,25,14548,0,567,91,Daly City CA,RT @realDonaldTrump: 'Democratic operative caught on camera: Hillary PERSONALLY ordered 'Donald Duck' troll campaign that broke the law'ht…
trump,3164925368,2016,10,25,06,13,25,5581,0,843,260,,RT @HillaryClinton: When Trump trivializes the sacrifice of our military and veterans, he makes it clear: He has no idea what service to th…
trump,1229132286,2016,10,25,06,13,25,1727,0,1,38941,,RT @hoax: hitler vs trump https://t.co/wg815vdue4
hillary,733390948843950080,2016,10,25,06,13,25,71,0,624,458, USA,RT @mitchellvii: Folks, Trump is winning and Hillary is in trouble.  You have to dig deep into these polls but it's obvious.
