,imdbID,Language,Genre,Awards,Awards_won,Awards_nominated,Prime_Awards_nominated,Oscar_Awards_nominated,Golden_Globe_Awards_nominated,BAFTA_Awards_nominated,Other_Awards,Prime_Awards_won,Oscar_Awards_won,Golden_Globe_Awards_won,BAFTA_Awards_won
1641,tt4158110,English; Swedish; Danish; Chinese,Crime; Drama; Thriller,Won 2 Golden Globes. Another 15 wins & 26 nominations.,17.0,26.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,2.0,0.0
1642,tt4163020,English,Comedy; Horror,2 nominations.,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1643,tt4165472,German,Family; Mystery,1 win.,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1644,tt4189022,English,Action; Comedy; Fantasy,3 wins & 5 nominations.,3.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1645,tt4191054,English,Animation; Adventure; Comedy,1 win & 4 nominations.,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1646,tt4196450,English,Biography; Drama; History,2 wins.,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1647,tt4224476,English,Adventure,1 nomination.,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1648,tt4231486,English,Action; Adventure; Comedy,1 win.,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1649,tt4262174,English; Spanish,Drama; Romance,3 wins & 3 nominations.,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1650,tt4262918,Spanish,Comedy; Drama,1 nomination.,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1651,tt4264426,English,Horror,7 wins & 3 nominations.,7.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1652,tt4265396,English,Short; Drama; Mystery,1 win & 4 nominations.,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1653,tt4273170,English,Crime; Drama; Mystery,1 nomination.,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1654,tt4284010,English; French,Documentary; Biography; Music,Nominated for 1 Oscar. Another 5 wins & 15 nominations.,5.0,16.0,0.0,1.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0
1655,tt4286742,English,Documentary; Short; Biography,2 wins.,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1656,tt4288182,English,Comedy; Drama,1 win.,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1657,tt4292420,French,Drama,1 win & 3 nominations.,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1658,tt4295140,,Documentary,Nominated for 4 Primetime Emmys. Another 1 win & 1 nomination.,1.0,5.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1659,tt4312140,Swiss German,Short; Comedy,1 nomination.,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1660,tt4324274,English,Animation; Action; Adventure,2 nominations.,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1661,tt4329800,Polish,Drama; Romance,2 wins & 2 nominations.,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1662,tt4341996,English,Biography; Crime; Drama,1 nomination.,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1663,tt4352442,Swedish,Drama; Thriller,4 wins & 12 nominations.,4.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1664,tt4355418,English,Documentary; Short; History,2 wins.,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1665,tt4368568,English,Short; Crime; Drama,2 wins & 1 nomination.,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1666,tt4370596,English,Comedy,1 win.,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1667,tt4374208,English,Comedy,Nominated for 1 Primetime Emmy. Another 1 win & 5 nominations.,1.0,6.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1668,tt4379728,Mandarin; English; Cantonese,Action; Crime; Thriller,1 nomination.,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1669,tt4380324,English,Drama,2 wins & 4 nominations.,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
